__twarcretrieved_at,twitter_handle_personal,,text_for_analysis,label
5/3/2024,@adammetzendorf,Democrat,always repping the mighty phoenixmercury and keeping bg in my thoughts wearebg,2
5/3/2024,@BobLancia,Republican,abc6 thank goodness startchangeri lanciaforri,2
5/3/2024,@bridgetmfleming,Democrat,1199seiu fantastic thank you teamfleming was all over the district today 1199seiu is critical in this race,2
5/3/2024,@bridgetmfleming,Democrat,aapiheritagemonth begins today this month we honor the cultures and contributions of the aapi community we as americans must work to stopaapihate,0
5/3/2024,@cruzforil,Republican,90swillyswonder hmm wonder what small biz you have run since you can t use your real name,2
5/3/2024,@DavidGiglioCA,Republican,922 athletes have dropped dead this last year alone due to heart attacks n nthe covid19 emergency is over there s no need to rush these untested and potential deadly drugs onto the market n nremember when we said the cure shouldn t be worse than the disease,0
5/3/2024,@ElectMikeGarcia,Republican,achieve energy independence to lower skyrocketing fuel costs n hold criminals accountable and protect our neighborhoods n end all covid mandates,0
5/3/2024,@EngelForArizona,Democrat,a glimpse of life for so many families in a post-roe america hardship desperation unsafe illegal abortions the crippling costs of seeking abortion care hundreds of miles away if roe is overturned congress must step in to guarantee abortion access n,0
5/3/2024,@huwaidaarraf,Democrat,3 200 new uaw jobs in michigan is tremendous news michigan s uaw laborers should be proud of the business they attract to our great state proving that strong unions create quality products and dignified jobs and make our communities stronger,0
5/3/2024,@JackLombardi,Republican,americans are losing money at a record rate and this fool wants americans to spring for a ev n nout-of-touch democrats,0
5/3/2024,@JenRuthGreen,Republican,45isgreatest thank you so much,2
5/3/2024,@Jerone4Congress,Republican,a woman i met at a republican women s meeting in mesa that i spoke at tells how i jerone davison for congress converted a whole black barbershop to vote republican jeroneforcongress raideralumni raidernation theherschelwalk asualumni arrestfauci,2
5/3/2024,@KeithPekau,Republican,a new study gave illinois an f grade for it s handling of covid other states receiving f s - ca nm ny nj we need a change in leadership this year we have a very real opportunity to make that happen,0
5/3/2024,@KindforCongress,Democrat,a graduate of uwlacrosse and a longtime professor at uwmadison truman lowe was a voice for native peoples and made art that captures the imagination we re proud to celebrate his memory and legacy,2
5/3/2024,@Malinowski,Democrat,8 we must pass legislation now to relieve the shortage of microchips a huge reason for higher prices of cars and many other goods and my broader bill to bring home from china manufacturing of goods critical to america s economic security,0
5/3/2024,@Malinowski,Democrat,a summer of promises kept n ncapping skyrocketing drug prices for seniors while making companies like amazon actually pay taxes n nenabling america to lead the world to clean energy n nbringing microchip manufacturing back home n nthe first bill in decades to prevent gun violence,0
5/3/2024,@MichelleSteelCA,Republican,a candidate for congress still refuses to denounce a declared chinese propaganda program that he helped bring into us schools jay chen s record of standing with china speaks for itself ca45,0
5/3/2024,@NobleForOregon,Republican,a big thank you to everyone who spoke out against this bill and killed the 3 sales tax the phone calls letters and emails made a difference we do have a voice n orpol or06 n,0
5/3/2024,@PetersonForCA,Democrat,_c_tt cityofberkeley lot s of russian soldiers have laid down their weapons n nthank you so much for helping to expand the reach on this message n nfolks love the image you shared amp take action by spreading the idea of securing weapons amp halting their fighting,0
5/3/2024,@PetersonForCA,Democrat,ahunt4congress the oligarchs and the shills for the monopoly firms are gathering their resources to resist strong honest challengers in 2022 n nvoters can cast ballots against corrupt-money in 2022 n josephgeev drbillh mikehersh sunrisemvmt alexandrasiera,0
5/3/2024,@PetersonForCA,Democrat,alexpadilla4ca jessep4congress yes but it helps the oligarchy amp the elite rip us off n n- a true insurrection would revolt against these filibusters amp organize to vote everyone of them out of office,2
5/3/2024,@PetersonForCA,Democrat,amarshergillca ninaturner brianmclain15 jkwhitmer3 cherylharris194 pioneeremily mitchellvice normansolomon alanminsky ray8fisher roots_action pdacalifornia congratulations amar n nthank you so much for stepping into the 2022 arena n nit would be such a shame to just let the corrupt-money win the 2022 elections igortregub,2
5/3/2024,@realNickDags,Republican,aaronparnas cawthornfornc chuckedwards4nc never will be congressman aaron parnas,2
5/3/2024,@RepRoybalAllard,Democrat,2 2 n nloved ones can access free confidential support by calling or texting 1-833-9-help4moms 1-833-943-5746 n nservices are available in over 60 languages n nmore information here n,2
5/3/2024,@sharicedavids,Democrat,a powerful message from my friend jasonkander about his battle with ptsd thank you for sharing your story n ncheck out his new book invisiblestorm - and support the fight against veteran suicide and homelessness,0
5/3/2024,@texas_sandra,Republican,1 today is nationallawenforcementappreciationday here at sft we love our leos thank you for keeping us safe it has been a privilege defending you in media and in forums while you defend us i promise that you will always be my priority you know that is a promise,2
5/3/2024,@TimRyan,Democrat,28 years ago the violence against women act became law n nin the senate i ll keep working to build on those landmark protections and pass legislation to keep women and families safe unlike jd vance who says parents should stay in violent marriages for the sake of their kids,0
5/3/2024,@votejohngibbs,Republican,american families no matter the color of their skin should never have to choose between putting food on the table or gas in the tank,0
5/3/2024,@wildforcongress,Democrat,and i promise you i will always always fight to protect your right to choose abortion is health care and the government has no place in the doctor s office you deserve the dignity and freedom to make your own health care decisions n,0
5/3/2024,@WillRollinsCA,Democrat,1 seeking safety is a human right we can work to secure the border and ensure migrants are treated humanely it s not either or we should follow our laws and insist that others do the same keeping our borders secure and also giving migrants due process worldrefugeeday,0
